TimeStamp,ChainlinkAggregate,Chainlayer,Wetez,ztake,Mycelium Node,Inotel,Sync Node,Omniscience,Alpha Chain,SNZPool,Simply VC,LinkPool,01Node,DexTrac,Prophet,Staked,PlusSign,Anyblock,LinkForest,Fiews,Framework Ventures,Staking Facilities,Blocksize Capital,T-Systems,Easy 2 stake,Kytzu,Figment Networks,Newroad Network,stake.fish,Validation Capital,P2P.org,Infinity Stones,Coincap,BraveNewCoin,CryptoCompare,AlphaVantage,CoinGecko,CoinPaprika,CoinMarketCap,,,,,
1650189632,3043.60,3043.38,3042.74,3043.30,3043.37,3043.49,3043.52,3043.60,3043.63,3043.65,3043.65,3043.68,3043.68,3043.68,3043.73,3042.88,3042.92,3042.94,3043.04,3043.06,3043.12,3043.29,3043.29,3043.30,3043.73,3043.73,3043.76,3043.90,3046.24,3046.24,3048.39,3049.13,3049.34,3053.57,3044.59,3043.11,3040.08,3043.52,3045.70,,,,,
1650190519,3043.60,3043.38,3042.74,3043.30,3043.37,3043.49,3043.52,3043.60,3043.63,3043.65,3043.65,3043.68,3043.68,3043.68,3043.73,3042.88,3042.92,3042.94,3043.04,3043.06,3043.12,3043.29,3043.29,3043.30,3043.73,3043.73,3043.76,3043.90,3046.24,3046.24,3048.39,3049.13,3050.60,3056.63,3044.46,3043.88,3047.44,3041.51,3044.66,,,,,
1650191419,3043.60,3043.38,3042.74,3043.30,3043.37,3043.49,3043.52,3043.60,3043.63,3043.65,3043.65,3043.68,3043.68,3043.68,3043.73,3042.88,3042.92,3042.94,3043.04,3043.06,3043.12,3043.29,3043.29,3043.30,3043.73,3043.73,3043.76,3043.90,3046.24,3046.24,3048.39,3049.13,3049.45,3056.23,3043.65,3042.83,3047.81,3050.34,3043.71,,,,,
1650192319,3043.60,3043.38,3042.74,3043.30,3043.37,3043.49,3043.52,3043.60,3043.63,3043.65,3043.65,3043.68,3043.68,3043.68,3043.73,3042.88,3042.92,3042.94,3043.04,3043.06,3043.12,3043.29,3043.29,3043.30,3043.73,3043.73,3043.76,3043.90,3046.24,3046.24,3048.39,3049.13,3047.98,3054.48,3040.46,3039.57,3046.71,3050.34,3043.08,,,,,
1650193222,3042.91,3041.63,3041.63,3041.79,3041.79,3041.89,3042.15,3042.18,3042.39,3042.39,3042.51,3042.55,3042.73,3042.86,3042.91,3042.91,3042.91,3042.98,3043.00,3043.05,3043.05,3043.07,3043.08,3043.09,3043.20,3043.20,3043.20,3043.51,3043.51,3047.59,3047.94,3042.17,3048.60,3053.14,3042.46,3041.96,3044.98,3049.50,3042.49,,,,,
1650194125,3042.92,3043.26,3041.63,3041.79,3043.00,3043.04,3043.04,3043.04,3043.05,3043.05,3043.08,3042.39,3042.15,3042.20,3042.27,3042.29,3042.32,3043.09,3043.09,3043.20,3043.51,3042.56,3042.76,3042.79,3042.83,3042.92,3042.92,3042.99,3047.74,3048.31,3048.75,3052.86,3042.35,3042.04,3049.08,3042.62,3044.02,3044.02,3044.02,,,,,
1650195024,3042.92,3043.26,3041.63,3041.79,3043.00,3043.04,3043.04,3043.04,3043.05,3043.05,3043.08,3042.39,3042.15,3042.20,3042.27,3042.29,3042.32,3043.09,3043.09,3043.20,3043.51,3042.56,3042.76,3042.79,3042.83,3042.92,3042.92,3042.99,3047.74,3048.31,3047.47,3051.36,3042.40,3042.08,3043.45,3048.02,3041.83,3043.56,3043.56,,,,,
1650195923,3042.92,3043.26,3041.63,3041.79,3043.00,3043.04,3043.04,3043.04,3043.05,3043.05,3043.08,3042.39,3042.15,3042.20,3042.27,3042.29,3042.32,3043.09,3043.09,3043.20,3043.51,3042.56,3042.76,3042.79,3042.83,3042.92,3042.92,3042.99,3047.74,3048.31,3050.00,3055.69,3045.54,3044.89,3046.66,3050.44,3044.90,3046.49,3046.49,,,,,
1650196821,3044.67,3044.38,3044.67,3044.67,3044.08,3044.15,3044.15,3044.20,3044.28,3044.41,3044.48,3044.53,3044.56,3044.60,3044.65,3044.67,3044.67,3044.75,3044.81,3044.83,3044.89,3044.97,3044.36,3044.39,3044.99,3045.00,3045.54,3046.08,3048.14,3048.18,3049.88,3050.73,3052.78,3055.76,3048.96,3048.04,3048.44,3051.28,3045.15,,,,,
1650197718,3044.67,3044.38,3044.67,3044.67,3044.08,3044.15,3044.15,3044.20,3044.28,3044.41,3044.48,3044.53,3044.56,3044.60,3044.65,3044.67,3044.67,3044.75,3044.81,3044.83,3044.89,3044.97,3044.36,3044.39,3044.99,3045.00,3045.54,3046.08,3048.14,3048.18,3049.88,3050.73,3051.47,3056.18,3046.93,3046.28,3053.19,3046.32,3050.06,,,,,
