name|desc|ai
Hummus or Eggplant Appetizer|With tahini, parsley and pita|No, hummus and eggplant appetizer is not keto friendly. Hummus is made from chickpeas, which are high in carbohydrates, and pita bread is also high in carbohydrates.
Hummus with Mushrooms & Onions Appetizer|Hummus with caramelized onions, sauteed mushrooms,  parsley and pita|No, this dish is not keto friendly. Hummus is high in carbohydrates, and the pita bread adds even more carbs. The mushrooms and onions are low-carb, but not enough to make this dish keto-friendly.
Labne Zataar Appetizer|With pine, nuts, olive oil and pita|No, this dish is not keto friendly. Labne Zataar contains pita, which is high in carbohydrates, as well as pine nuts and olive oil, which are both high in fat but also contain some carbohydrates.
Falafel Platter|Hummus, tabouleh, babaganouj, tahini, feta, olives and pita with falafel balls and house made pickles|No, this dish is not keto friendly. While some of the ingredients, such as hummus, tabouleh, and olives, are low in carbs, the falafel balls and pita bread are high in carbs and
Knish|Baked in a house made crust with chefs filling|No, a knish is not keto friendly. The crust is usually made with flour, which is high in carbohydrates, and the filling is usually made with potatoes, which are also high in carbohydrates.
French Fries Small||No, French fries are not keto friendly. French fries are usually made with potatoes, which are high in carbohydrates and not suitable for a keto diet.
French Fries Large||No, French fries are not keto friendly. French fries are usually made with potatoes, which are high in carbohydrates and not suitable for a keto diet.
Saul's Poutine|Our take on the classic. Fries smothered in  aujus, mozzarella curd and herbs|No, this dish is not keto friendly. Poutine is traditionally made with french fries, which are high in carbohydrates, and the cheese curd and aujus add additional carbohydrates.
Saul's Poutine|Add pastrami|No, Poutine is not keto friendly because it is made with french fries, which are high in carbohydrates. Additionally, the addition of pastrami adds more carbohydrates to the dish.
Chopped Liver Appetizer|Sauls famous traditional chopped chicken liver with rye|No, this dish is not keto friendly. Chopped liver is high in fat, but it is also high in carbohydrates due to the rye bread.
Potato Latke One|Delicious pancakes of grated potatoes and onions, seasoned to  perfection and then fried. Served with housemade applesauce  and sour cream|No, Potato Latke One is not keto friendly. Potatoes are high in carbohydrates and therefore not suitable for a keto diet.
Potato Latke Three|Delicious pancakes of grated potatoes and onions, seasoned to  perfection and then fried. Served with housemade applesauce  and sour cream|No, potato latkes are not keto friendly because potatoes are high in carbohydrates.
Latkes & Lox One|Crispy latke topped with arugula, smoked salmon and sour cream|No, this dish is not keto friendly. Latkes are made from potatoes, which are high in carbohydrates, and sour cream is also high in carbohydrates.
Latkes & Lox Two|Crispy latke topped with arugula, smoked salmon and sour cream|No, this dish is not keto friendly. Latkes are made from potatoes, which are high in carbohydrates, and sour cream is also high in carbohydrates.
Kale Salad Small|Apple, walnut, sumac onions, pomegranate and pickled persimmon with lemon dressing|Yes, this dish is keto friendly. Kale is a low-carb vegetable, and the other ingredients are all low-carb as well. The lemon dressing is also low-carb, making this a great option for a keto diet
Kale Salad Large|Apple, walnut, sumac onions, pomegranate and pickled persimmon with lemon dressing|Yes, this dish is keto friendly. Kale is a low-carb vegetable, and the other ingredients are all low-carb as well. The lemon dressing is also low-carb, making this a great option for a keto diet
Jordan River Mezze Platter|Chopped mango and cucumber salad with mint and sumac onions, spiced carrot salad, beet tahina, pickled persimmon and mixed greens with vinaigrette|No, this dish is not keto friendly. While some of the ingredients are low-carb, such as the cucumber and mixed greens, the mango, carrots, and beets are all high-carb vegetables that would not fit into a
Jordan River Mezze Platter|Add rare agu|No, the Jordan River Mezze Platter is not keto friendly. The platter includes a variety of items such as hummus, tabbouleh, and pita bread, which are all high in carbohydrates and not suitable
